a52dec 0.7.4-8
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.1-1
lib32-libxft 2.3.2-1
lib32-libxi 1.7.6-1
lib32-libxinerama 1.1.3-1
lib32-libxkbcommon 0.6.1-1
lib32-libxml2 2.9.3-1
lib32-libxmu 1.1.2-1
lib32-libxrandr 1.5.0-1
lib32-libxrender 0.9.9-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxt 1.1.5-1
lib32-libxtst 1.2.2-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.7.1-1
lib32-mesa 11.2.1-1
lib32-mesa-libgl 11.2.1-1
lib32-ncurses 6.0-2
lib32-nettle 3.2-1
lib32-nspr 4.12-1
lib32-nss 3.23-1
lib32-openal 1.17.2-1
lib32-openssl 1:1.0.2.g-3
lib32-p11-kit 0.23.2-1
lib32-pam 1.2.1-2
lib32-pango 1.40.1-1
lib32-pcre 8.38-2
lib32-pixman 0.34.0-1
lib32-polkit 0.113-2
lib32-popt 1.16-6
lib32-readline 6.3.008-2
lib32-rest 0.7.93-1
lib32-slang 2.2.4-2
lib32-sqlite 3.12.2-1
lib32-systemd 229-1
lib32-tcl 8.6.5-1
lib32-util-linux 2.28-1
lib32-wayland 1.10.0-1
lib32-xz 5.2.2-1
lib32-zlib 1.2.8-1
libaio 0.3.110-1
libarchive 3.1.2-8
libass 0.13.2-1
libassuan 2.4.2-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.9.2-1
libcanberra 0.30-6
libcanberra-pulse 0.30-6
libcap 2.25-1
libcddb 1.3.2-4
libcdio 0.93-3
libcdio-paranoia 10.2+0.93+1-1
libcroco 0.6.11-1
libcups 2.1.3-1
libcurl-compat 7.48.0-1
libdaemon 0.14-3
libdatrie 0.2.10-1
libdbus 1.10.8-1
libdca 0.0.5-4
libdrm 2.4.67-2
libdv 1.0.0-6
libdvbpsi 1:1.3.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libebml 1.3.3-2
libedit 20150325_3.1-2
libelf 0.166-1
libepoxy 1.3.1-1
libev 4.22-1
libevdev 1.4.6-1
libevent 2.0.22-2
libexif 0.6.21-2
libffi 3.2.1-1
libfontenc 1.1.3-1
libgcrypt 1.7.0-1
libglade 2.6.4-5
libgme 0.6.0-5
libgpg-error 1.21-1
libgsf 1.14.36-1
libgudev 230-1
libgusb 0.2.9-1
libgxps 0.2.3.2-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.32-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-3
libinput 1.2.4-1
libjpeg-turbo 1.4.2-2
libkate 0.4.1-5
libksba 1.3.3-1
libldap 2.4.44-1
liblqr 0.4.2-1
libmad 0.15.1b-7
libmatroska 1.4.4-1
libmbim 1.12.4-1
libmm-glib 1.4.14-1
libmms 0.6.4-1
libmng 2.0.3-1
libmnl 1.0.3-2
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-1
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmtp 1.1.11-1
libnewt 0.52.19-1
libnftnl 1.0.5-1
libnl 3.2.27-1
libnm-glib 1.0.12-1
libnotify 0.7.6-2
libofa 0.9.3-6
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libotf 0.9.13-2
libots 0.5.0-4
libpaper 1.1.24-9
libpcap 1.7.4-1
libpciaccess 0.13.4-1
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.21-1
libpng12 1.2.56-3
libproxy 0.4.12-1
libpulse 8.0-3
libqmi 1.12.10-1
libraw1394 2.1.2-1
librevenge 0.0.4-1
librsvg 2:2.40.15-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.2.3-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsigc++ 2.8.0-1
libsm 1.2.2-2
libsndfile 1.0.26-1
libsoup 2.54.0.1-1
libsoxr 0.1.2-1
libspectre 0.2.7-2
libspiro 1:0.5.20150702-1
libsrtp 1:1.5.4-1
libssh 0.7.3-1
libssh2 1.7.0-2
libsystemd 229-3
libtar 1.2.20-2
libtasn1 4.8-1
libthai 0.1.24-1
libtheora 1.1.1-3
libtiff 4.0.6-2
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-4
libtxc_dxtn 1.0.1-6
libudev.so.0 0.1.1-3
libunistring 0.9.6-1
libunwind 1.1-3
libupnp 1.6.19-1
libusb 1.0.20-1
libusbmuxd 1.0.10-1
libutil-linux 2.28-1
libva 1.7.0-1
libvdpau 1.1.1-2
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.5.0-4
libwacom 0.18-1
libwebp 0.5.0-1
libwmf 0.2.8.4-12
libwpd 0.10.1-1
libwpg 0.3.1-1
libx11 1.6.3-1
libx264 2:148.20160103-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.11.1-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-1
libxfce4util 4.12.1-1
libxfixes 5.0.1-1
libxfont 1.5.1-1
libxft 2.3.2-1
libxi 1.7.6-1
libxinerama 1.1.3-2
libxkbcommon 0.6.1-1
libxkbcommon-x11 0.6.1-1
libxkbfile 1.0.9-1
libxml2 2.9.3+14+gd5bd2a9-1
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.0-1
libxrender 0.9.9-1
libxshmfence 1.2-1
libxslt 1.1.28-4
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.9-1
libxxf86vm 1.1.4-1
libyaml 0.1.6-1
licenses 20140629-1
light-git v0.9.r10.gb4cda33-1
link-grammar 5.3.3-1
linux 4.5.1-1
linux-api-headers 4.4.1-1
linux-firmware 20160315.deb1d83-1
llvm-libs 3.7.1-1
logrotate 3.9.2-1
loudmouth 1.5.3-1
lua 5.3.2-1
lvm2 2.02.149-1
lxappearance 0.6.2-1
lz4 131-1
lzo 2.09-1
m17n-db 1.7.0-1
m17n-lib 1.7.0-1
m4 1.4.17-1
make 4.1-3
man-db 2.7.5-1
man-pages 4.05-1
mdadm 3.4-1
mesa 11.2.1-1
mesa-libgl 11.2.1-1
mime-types 9-1
mjpegtools 2.1.0-2
mkinitcpio 19-1
mkinitcpio-busybox 1.24.1-1
modemmanager 1.4.14-1
mozilla-common 1.4-4
mpfr 3.1.4-1
mtdev 1.1.5-1
nano 2.5.3-1
nasm 2.11.08-1
ncurses 6.0-4
neon 0.30.1-2
net-tools 1.60.20130531git-1
netctl 1.11-1
nettle 3.2-1
noto-fonts 20151224-2
npth 1.2-1
nspr 4.12-1
nss 3.23-3
numix-themes 2.5.1.r154.9c9bf64-2
numix-themes-archblue-git 2.5.1.r193.a86f0a3-2
numix-themes-darkblue 2.5-1
numix-themes-electric 2.5.1-1
ocl-icd 2.2.9-1
openal 1.17.2-2
opencore-amr 0.1.3-2
openexr 2.2.0-3
openjpeg 1.5.2-1
openresolv 3.7.2-1
openssl 1.0.2.g-3
opus 1.1.2-1
orc 0.4.25-1
os-prober 1.71-1
p11-kit 0.23.2-1
package-query 1.8-2
pacman 5.0.1-2
pacman-mirrorlist 20160424-1
pam 1.2.1-3
pambase 20130928-1
pango 1.40.1-1
pangomm 2.40.0-1
pangox-compat 0.0.2-2
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.4.1-1
pcmciautils 018-7
pcre 8.38-3
perl 5.22.1-2
perl-error 0.17024-1
perl-locale-gettext 1.07-1
perl-uri 1.71-1
perl-xml-parser 2.44-2
pinentry 0.9.7-1
pixman 0.34.0-1
pkg-config 0.29.1-1
polkit 0.113-4
poppler 0.42.0-1
poppler-glib 0.42.0-1
popt 1.16-7
ppp 2.4.7-2
procps-ng 3.3.11-2
psiconv 0.9.9-1
psmisc 22.21-3
pulseaudio 8.0-3
pygobject-devel 3.20.0-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
python 3.5.1-2
python-beaker 1.8.0-1
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-gobject 3.20.0-1
python-mako 1.0.4-1
python-markupsafe 0.23-3
python-packaging 16.7-1
python-pyparsing 2.1.1-1
python-setuptools 1:20.9.0-1
python-six 1.10.0-1
python-xdg 0.25-3
python2 2.7.11-3
python2-cairo 1.10.0-2
python2-dbus 1.2.4-1
python2-gobject2 2.28.6-12
python2-urwid 1.3.1-2
qt4 4.8.7-8
qt5-base 5.6.0-3
qt5-declarative 5.6.0-1
qt5-location 5.6.0-1
qt5-sensors 5.6.0-1
qt5-webchannel 5.6.0-1
qt5-webkit 5.6.0-4
qt5-x11extras 5.6.0-1
qt5-xmlpatterns 5.6.0-1
qtchooser 53-2
randrproto 1.5.0-1
raptor 2.0.15-4
rasqal 1:0.9.33-1
readline 6.3.008-3
recordproto 1.14.2-2
redland 1:1.0.17-3
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.7.93-1
rfkill 0.5-1
rtkit 0.11-5
rtmpdump 1:2.4.r96.fa8646d-2
ruby 2.3.0-2
ruby-maruku 0.7.2-3
ruby-sass 3.4.21-1
ruby-yard 0.8.7.6-1
run-parts 4.7-1
s-nail 14.8.8-1
sbc 1.3-1
schroedinger 1.0.11-3
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl_image 1.2.12-3
sed 4.2.2-3
shadow 4.2.1-3
shared-mime-info 1.6-1
slang 2.3.0-1
snappy 1.1.3-2
